X,Y,OBJECTID,GIS_ID,Name,Location,PayAndDisplay,ParkingDistrict,AccessType,ParkingFacilityType,CountRegSpaces,CountDisabledSpaces,CountTotalSpaces,LastEditDate
479583.7002,4759710.5902,404,124,,West side of Clarence St / North of Angel St,Y,Richmond Row,Public,Perpendicular Parking,,,,2018/12/05 18:50:43+00
479610.2009,4759672.9411,405,1,,East side of Clarence St / North of Angel St,Y,Richmond Row,Public,Perpendicular Parking,,,,2018/12/05 18:50:43+00
479687.6486,4759465.4279,406,2,,East side of Clarence St / North of Dufferin Ave,N,Richmond Row,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479797.5716,4759171.5914,407,3,,East side of Clarence St / North of Dundas St,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479838.4123,4759059.1262,408,4,,East side of Clarence St / North of King St,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479741.0603,4759321.8578,409,5,,East side of Clarence St / North of Queens Ave,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479895.0927,4758906.3854,410,6,,East side of Clarence St / North of York St,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
480028.9559,4759457.1117,411,7,,East side of Picton St / North of Queens Ave,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
481711.9042,4759741.2657,412,8,,East side of Rectory St / North of King St,N,North,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479472.0791,4760077.1181,413,9,,East side of Richmond St / North of Pall Mall St,Y,Richmond Row,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479582.0011,4759260.2222,414,10,,East side of Richmond St / North of Queens Ave,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479279.8548,4758957.8986,415,11,,East side of Ridout St / North of Dundas St,Y,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479042.8802,4760673.8427,416,12,,East side of St George St / North of College Ave,N,North,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479325.2412,4759372.9903,417,13,,East side of Talbot St / North of Dufferin Ave,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479458.006,4759008.433,418,14,,East side of Talbot St / North of Dundas St,Y,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479376.5207,4759231.2192,419,15,,East side of Talbot St / North of Fullarton St,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479503.9973,4758885.5404,420,16,,East side of Talbot St / North of King St,Y,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479539.4925,4758787.8036,421,17,,East side of Talbot St / North of York St,Y,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479584.6311,4758663.8861,422,18,,East side of Talbot St / South of York St,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
480202.9703,4759344.1628,423,19,,East side of Waterloo St / North of Dundas St,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
480156.5157,4759470.1496,424,20,,East side of Waterloo St / North of Queens Ave,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479728.3336,4759919.7015,425,21,,East side of Wellington St / North of Central Ave,N,Richmond Row,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479327.3493,4760998.1046,426,22,,East side of Wellington St / North of Grosvenor St,Y,North,Public,Angle Parking,,,,2018/12/05 18:50:43+00
479691.3589,4760020.1393,427,23,,East side of Wellington St / North of Hyman St,N,Richmond Row,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479566.047,4760351.752,428,24,,East side of Wellington St / North of Piccadilly St,N,Richmond Row,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479377.9114,4759584.6224,429,25,,North side of Albert St / East of Talbot St,N,Richmond Row,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479595.1982,4759594.4631,430,26,,North side of Angel St / West of Clarence St,Y,Richmond Row,Public,Angle Parking,,,,2018/12/05 18:50:43+00
480046.0554,4758740.8333,431,27,,North side of Bathurst St / East of Clarence St,N,North,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479710.9021,4758615.4478,432,30,,North side of Bathurst St / West of Richmond St,N,North,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479812.0046,4758650.7169,433,28,,North side of Bathurst St / East of Richmond St,N,North,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479902.1247,4758687.1952,434,29,,North side of Bathurst St / West of Clarence St,N,North,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479528.6828,4759078.7102,435,31,,North side of Carling St / East of Talbot St,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
480292.5164,4760048.7892,436,32,,North side of Central Ave / East of Colborne St,N,North,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479664.2226,4759814.0675,437,33,,North side of Central Ave / East of Richmond St,N,Richmond Row,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479428.733,4759757.449,438,34,,North side of Central Ave / East of St George St,N,Richmond Row,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479293.9391,4759707.5272,439,35,,North side of Central Ave / East of Talbot St,N,Richmond Row,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479132.5184,4760657.1421,440,36,,North side of College Ave / West of Richmond St,N,North,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479792.9931,4759429.7075,441,37,,North side of Dufferin Ave / East of Clarence St,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
481205.0705,4759640.8637,442,38,,North side of Dundas St / East of Adelaide St,N,East London,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
481988.1368,4759946.8862,443,40,,North side of Dundas St / East of Ontario St,N,East,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
481802.0391,4759873.688,444,41,,North side of Dundas St / East of Rectory St,N,East,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
481604.4965,4759796.5604,445,39,,North side of Dundas St / East of English St,N,East London,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
480363.9512,4759316.1577,446,42,,North side of Dundas St / East of Waterloo St,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
480123.7246,4759227.9854,447,43,,North side of Dundas St / East of Wellington St,Y,Core,Public,Angle Parking,,,,2018/12/05 18:50:43+00
480987.4305,4759555.61,448,44,,North side of Dundas St / East of William St,N,North,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479776.834,4759091.1953,449,45,,North side of Dundas St / West of Clarence St,Y,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479600.5217,4759025.157,450,46,,North side of Dundas St / West of Richmond St,Y,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479324.3064,4758922.4032,451,47,,North side of Dundas St / West of Talbot St,Y,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479944.6817,4759153.4495,452,48,,North side of Dundas St / West of Wellington St,Y,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
481970.4768,4758707.6568,453,49,,North side of Hamilton Rd / East of Marmora St,N,SOHO,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
482126.7325,4758683.9739,454,50,,North side of Hamilton Rd / East of Rectory St,N,SOHO,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
480373.031,4758718.5036,455,53,,North side of Horton St E / East of Henry St,N,North,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479416.0604,4759904.4659,456,54,,North side of John St / East of St. George St,N,Richmond Row,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479232.4246,4759400.3985,457,56,,North side of Kent St / East of Ridout St,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479427.5489,4759471.6785,458,57,,North side of Kent St / East of Talbot St,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479970.2643,4759012.5298,459,58,,North side of King St / East of Clarence St,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
480564.1817,4759233.5882,460,59,,North side of King St / East of Colborne St,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479801.0892,4758949.3827,461,60,,North side of King St / East of Richmond St,Y,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479422.0555,4758809.4142,462,61,,North side of King St / East of Ridout St,Y,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479666.1731,4758902.1297,463,62,,North side of King St / East of Talbot St,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
480390.1195,4759167.1033,464,63,,North side of King St / East of Waterloo St,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
480132.8926,4759085.6856,465,64,,North side of King St / East of Wellington St,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479365.6277,4760005.4343,466,65,,North side of Mill St / West of Richmond St,N,Richmond Row,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479483.5897,4760264.9606,467,66,,North side of Piccadilly St / East of Richmond St,N,Richmond Row,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479986.8775,4759674.1465,468,67,,North side of Princess Ave / East of Centennial Lane,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
480170.015,4759741.3282,469,68,,North side of Princess Ave / East of Waterloo St,N,North,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479693.3178,4759219.9615,470,71,,North side of Queens Ave / East of Richmond St,Y,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
